Taxonomy	Production type	Statistic class	MamA	MamB	MamM	MamO	MamE	MamN	MamK	MamH
pseudomonas aeruginosa	A	H	-	5.3474e-09 (60%)  cation-efflux pump FieF 	6.70999e-08 (68%)  divalent metal cation transporter FieF 	1.80406e-08 (49%)  2-alkenal reductase 	7.8656e-32 (79%)  serine peptidase 	-	0.0499056 (75%)  rod shape-determining protein 	-	
enterobacter cloacae	A	DZ	-	4.88211e-17 (66%)  divalent metal cation transporter FieF 	2.39471e-13 (68%)  cation-efflux pump fieF 	2.18065e-10 (50%)  serine endoprotease 	0.00104096 (60%)  serine endoprotease 	0.0360017 (31%)  citrate transporter 	-	0.000161791 (40%)  MFS transporter 	
staphylococcus epidermidis	C	DZ	0.000328017 (31%)  tetratricopeptide domain-containing protein 	2.34941e-09 (52%)  cation transporter 	5.3582e-06 (46%)  cation transporter 	0.00509783 (31%)  hypothetical protein AUK68_03345 	8.86567e-11 (59%)  HtrA-like serine protease 	-	-	-	
enterobacter cloacae p101	A	H	-	3.38433e-30 (85%)  cobalt transporter 	1.24672e-24 (86%)  cobalt transporter 	1.66641e-10 (50%)  serine endoprotease 	1.53247e-08 (60%)  serine endoprotease 	-	-	-	
staphylococcus epidermidis uc7032	C	H	6.16642e-05 (33%)  hypothetical protein L086_0110640 	1.83544e-17 (65%)  transporter 	8.3554e-22 (77%)  transporter 	1.10205e-07 (49%)  serine protease 	4.32238e-25 (79%)  serine protease 	-	-	-	
staphylococcus haemolyticus	C	DZ	0.00105705 (25%)  tetratricopeptide domain-containing protein 	7.68027e-06 (46%)  cation transporter 	0.0347591 (47%)  cation transporter 	0.00410418 (29%)  anion permease 	1.82773e-10 (62%)  serine protease 	0.0238419 (66%)  arsenical pump membrane protein 	-	0.0489404 (30%)  MFS transporter 	
staphylococcus epidermidis nihlm001	A	H	-	1.62258e-09 (50%)  putative cadmium, cobalt and zinc/H(+)-K(+) antiporter 	1.44199e-23 (77%)  cation diffusion facilitator family transporter 	5.56235e-08 (51%)  serine protease do-like HtrA family protein 	2.2486e-24 (79%)  serine protease do-like HtrA family protein 	-	-	-	
micrococcus luteus	A	DZ	-	1.85833e-05 (49%)  cation diffusion facilitator family transporter 	0.00992302 (26%)  cation transporter 	0.0463299 (45%)  Trypsin 	0.0177456 (40%)  hypothetical protein GY12_07510 	-	-	0.0243809 (45%)  hypothetical protein 	
staphylococcus aureus	C	DZ	0.0251551 (30%)  Tetratricopeptide repeat (TPR) family protein 	4.15874e-20 (68%)  transporter 	6.897e-25 (79%)  cation diffusion facilitator family transporter 	1.29076e-07 (64%)  Serine protease%2C DegP/HtrA%2C do-like protein 	2.36897e-23 (71%)  serine protease 	0.000375959 (85%)  cation transporter 	-	-	
enterobacter cloacae subsp. cloacae	A	H	-	1.72624e-33 (83%)  cobalt transporter 	1.12289e-14 (72%)  cation-efflux pump FieF 	1.71078e-10 (50%)  serine endoprotease DegQ 	3.58372e-09 (60%)  serine endoprotease DegQ 	-	-	-	
staphylococcus epidermidis vcu071	A	H	-	2.32778e-09 (51%)  putative cadmium, cobalt and zinc/H(+)-K(+) antiporter 	3.59947e-06 (46%)  putative cadmium, cobalt and zinc/H(+)-K(+) antiporter 	1.99253e-08 (52%)  trypsin 	1.97671e-24 (78%)  trypsin 	-	-	-	
