Taxonomy	Production type	Statistic class	MamA	MamB	MamM	MamO	MamE	MamN	MamK	MamH
pseudomonas aeruginosa	A	H	-	5.35451e-09 (60%)  cation-efflux pump FieF 	6.71892e-08 (68%)  divalent metal cation transporter FieF 	1.80646e-08 (49%)  2-alkenal reductase 	7.87607e-32 (79%)  serine peptidase 	-	0.049972 (75%)  rod shape-determining protein 	-	
eubacterium aggregans	A	H	-	5.1619e-37 (71%)  cation diffusion facilitator family transporter 	1.38141e-28 (81%)  cation diffusion facilitator family transporter 	4.61432e-09 (52%)  serine protease Do 	8.70374e-29 (77%)  serine protease Do 	-	-	-	
alcaligenes faecalis subsp. faecalis ncib 8687	C	H	3.08385e-08 (45%)  hypothetical protein QWA_12577 	3.13223e-36 (80%)  cation diffusion facilitator family transporter 	4.6094e-05 (49%)  efflux protein 	3.72789e-05 (62%)  integral membrane protein 	3.57119e-10 (68%)  serine protease 	0.0250087 (55%)  arsenical pump membrane protein 	-	-	
neisseria meningitidis	A	DZ	-	2.83514e-10 (64%)  cation-efflux system 	0.0285887 (50%)  cation transport protein 	3.63404e-08 (51%)  protease Do 	0.000180945 (55%)  protease Do 	-	2.07408e-08 (85%)  rod shape-determining protein 	-	
aeromonas veronii hm21	A	H	-	6.56944e-28 (81%)  cation transporter 	1.55046e-20 (78%)  cation transporter 	5.56194e-06 (44%)  serine protease 	3.59521e-09 (64%)  serine protease 	1.16977e-05 (50%)  NadC family protein 	-	-	
veillonella atypica acs-049-v-sch6	A	DZ	-	0.017061 (32%)  cation diffusion facilitator family transporter 	4.9134e-13 (73%)  cation diffusion facilitator family transporter 	0.0135415 (45%)  trypsin 	1.9181e-30 (85%)  trypsin 	-	7.62627e-09 (80%)  cell shape determining protein, MreB/Mrl family 	-	
aeromonas salmonicida	A	H	-	6.04546e-28 (76%)  cation transporter 	2.46195e-21 (75%)  cation transporter 	8.73944e-06 (50%)  peptidase 	2.40618e-09 (60%)  serine endoprotease DegQ 	3.24753e-05 (50%)  Anion transporter 	-	-	
achromobacter ruhlandii	A	H	-	7.38961e-31 (77%)  cobalt-zinc-cadmium resistance protein 	1.23577e-22 (79%)  cobalt transporter 	5.49448e-09 (56%)  2-alkenal reductase 	9.04598e-08 (41%)  serine protease 	-	-	-	
yersinia enterocolitica	A	DZ	-	0.0155383 (35%)  cobalt-zinc-cadmium resistance protein 	0.000445944 (41%)  cation transporter 	0.00148161 (47%)  serine endoprotease 	1.19054e-21 (70%)  serine endoprotease 	0.000433884 (47%)  arsenical pump membrane protein 	0.000461463 (77%)  rod shape-determining protein 	0.0133757 (43%)  major facilitator transporter 	
achromobacter insuavis axx-a	A	H	-	2.5619e-31 (78%)  cation diffusion facilitator family transporter 	7.63016e-23 (79%)  cation diffusion facilitator family transporter 	8.92526e-10 (71%)  peptidase S1 and S6, chymotrypsin/Hap 	2.61037e-05 (57%)  protease Do 	-	-	-	
enterococcus faecalis aro1/dg	A	DZ	-	4.38718e-15 (64%)  cation efflux system protein CZCD 	1.91577e-18 (53%)  cation efflux system protein CZCD 	0.0170379 (46%)  peptidase S1 	9.9393e-23 (84%)  peptidase S1 	-	-	-	
