Taxonomy	Production type	Statistic class	MamA	MamB	MamM	MamO	MamE	MamN	MamK	MamH
citrobacter freundii	C	DZ	0.0090799 (36%)  Vi polysaccharide export protein VexE 	0.00023731 (51%)  zinc transporter ZitB 	1.76829e-13 (59%)  divalent metal cation transporter FieF 	8.28681e-07 (54%)  outer membrane-stress sensor serine endopeptidase DegS 	7.95899e-21 (63%)  outer membrane-stress sensor serine endopeptidase DegS 	0.0478159 (35%)  citrate transporter 	-	0.0374049 (101%)  class C tetracycline resistance protein (plasmid) 	
campylobacter sputorum	CC	DZ	4.36214e-05 (30%)  periplasmic protein 	3.30802e-15 (54%)  cation transporter 	0.000206474 (48%)  cation transporter 	5.14743e-12 (47%)  serine protease 	8.1676e-06 (40%)  serine protease 	-	5.46171e-11 (89%)  rod shape-determining protein 	-	
cardiobacterium hominis	A	H	-	3.48855e-05 (49%)  Cobalt-zinc-cadmium resistance protein CzcD 	1.85521e-23 (70%)  cation-efflux pump 	1.86143e-07 (47%)  serine peptidase 	5.57417e-06 (54%)  trypsin 	0.0436508 (77%)  Transporter 	3.4712e-05 (77%)  Rod shape-determining protein MreB 	-	
neisseria sicca atcc 29256	A	DZ	-	8.29523e-12 (64%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0151356 (27%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.00612778 (72%)  hypothetical protein NEISICOT_02978 	0.0076001 (26%)  putative RIP metalloprotease RseP 	-	0.000584829 (81%)  Fe-S protein assembly chaperone HscA 	-	
streptococcus constellatus	A	DZ	-	6.26117e-27 (78%)  cation transporter 	0.00100202 (47%)  Cobalt-zinc-cadmium resistance protein CzcD 	0.0420815 (31%)  putative transport protein 	3.1025e-23 (69%)  serine protease 	-	-	-	
staphylococcus aureus	C	DZ	0.0251552 (30%)  Tetratricopeptide repeat (TPR) family protein 	4.15875e-20 (68%)  transporter 	6.89702e-25 (79%)  cation diffusion facilitator family transporter 	1.29077e-07 (64%)  Serine protease%2C DegP/HtrA%2C do-like protein 	2.36897e-23 (71%)  serine protease 	0.000375961 (85%)  cation transporter 	-	-	
cardiobacterium valvarum f0432	A	H	-	1.2791e-24 (68%)  cation diffusion facilitator family transporter 	2.76244e-21 (70%)  cation diffusion facilitator family transporter 	1.08505e-07 (44%)  putative serine protease MucD 	2.48312e-05 (53%)  trypsin 	0.00200459 (71%)  transporter, DASS family 	6.68979e-05 (71%)  rod shape-determining protein MreB 	-	
neisseria mucosa atcc 25996	A	DZ	-	3.91136e-12 (64%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0133404 (26%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.00410873 (68%)  hypothetical protein NEIMUCOT_05896 	0.00220382 (28%)  RIP metalloprotease RseP 	-	1.83775e-12 (89%)  cell shape determining protein, MreB/Mrl family 	-	
streptococcus intermedius f0395	A	DZ	-	6.54953e-29 (79%)  hypothetical protein HMPREF9682_00754 	0.00149922 (47%)  hypothetical protein HMPREF9682_01809 	0.00097103 (40%)  hypothetical protein HMPREF9682_01867 	3.93396e-23 (70%)  hypothetical protein HMPREF9682_01867 	-	-	-	
neisseria lactamica	CC	DZ	0.0191245 (38%)  hypothetical protein B2G52_06360 	2.24511e-06 (58%)  hypothetical protein B2G52_05045 	0.0215406 (27%)  Hsp12 variant C 	0.0322592 (72%)  anion permease 	0.000452952 (31%)  RIP metalloprotease RseP 	-	0.0139801 (76%)  Fe-S protein assembly chaperone HscA 	0.000125009 (81%)  MFS transporter 	
neisseria lactamica atcc 23970	CC	DZ	0.0116571 (38%)  tetratricopeptide repeat protein 	2.43508e-06 (58%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.00120148 (50%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0374882 (72%)  sulfite exporter TauE/SafE family protein 	8.1902e-05 (32%)  RIP metalloprotease RseP 	-	0.0489884 (66%)  Fe-S protein assembly chaperone HscA 	-	
peptostreptococcus russellii	CC	DZ	0.0305851 (26%)  Tetratricopeptide repeat-containing protein 	7.62125e-43 (83%)  cation diffusion facilitator family transporter 	2.72311e-34 (79%)  cation diffusion facilitator family transporter 	1.85541e-05 (50%)  serine protease, S1-C subfamily, contains C-terminal PDZ domain 	3.19838e-27 (78%)  serine protease, S1-C subfamily, contains C-terminal PDZ domain 	-	0.00653202 (46%)  molecular chaperone DnaK 	-	
burkholderia cepacia	C	DZ	0.00110512 (36%)  hypothetical protein WM06_22845 	1.03226e-24 (77%)  cation diffusion facilitator family transporter 	1.64364e-18 (82%)  cation diffusion facilitator family transporter 	0.000123653 (59%)  2-alkenal reductase 	0.00497395 (31%)  2-alkenal reductase 	0.0493411 (74%)  arsenic transporter 	-	0.0491729 (81%)  hypothetical protein WI99_37705, partial 	
pseudomonas aeruginosa	A	H	-	5.35399e-09 (60%)  cation-efflux pump FieF 	6.71826e-08 (68%)  divalent metal cation transporter FieF 	1.80629e-08 (49%)  2-alkenal reductase 	7.87529e-32 (79%)  serine peptidase 	-	0.049967 (75%)  rod shape-determining protein 	-	
streptococcus intermedius atcc 27335	A	DZ	-	2.17513e-26 (77%)  hypothetical protein HMPREF1654_01026 	2.16222e-24 (72%)  hypothetical protein HMPREF1654_01026 	0.0153441 (37%)  hypothetical protein HMPREF1654_01615 	3.0397e-21 (68%)  hypothetical protein HMPREF1654_01615 	-	-	-	
streptococcus mitis 18/56	A	DZ	-	8.05101e-24 (64%)  cation transporter 	8.74571e-20 (61%)  cation transporter 	0.0429391 (42%)  serine protease 	1.72922e-22 (72%)  serine protease 	-	-	-	
cardiobacterium hominis atcc 15826	A	H	-	1.17197e-05 (58%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	5.83638e-24 (70%)  cation diffusion facilitator family transporter 	1.81355e-07 (47%)  peptidase Do 	6.15423e-07 (51%)  trypsin 	6.66626e-34 (121%)  citrate transporter 	-	-	
neisseria sicca vk64	A	DZ	-	2.36315e-11 (63%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0182074 (26%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.0181921 (69%)  sulfite exporter TauE/SafE 	0.00373787 (27%)  RIP metalloprotease RseP 	-	0.000708766 (81%)  Fe-S protein assembly chaperone HscA 	-	
streptococcus pyogenes nz131	A	DZ	-	3.99146e-21 (61%)  Putative cation efflux system protein 	2.17066e-21 (67%)  Putative cation efflux system protein 	0.000930039 (59%)  Endopeptidase degP 	4.5783e-26 (89%)  Endopeptidase degP 	-	-	-	
neisseria meningitidis	A	DZ	-	2.42357e-05 (58%)  cation transport protein 	0.0108376 (50%)  cation transport protein 	1.63167e-05 (30%)  protease Do, partial 	0.000367443 (37%)  RIP metalloprotease RseP 	-	0.0143816 (66%)  Fe-S protein assembly chaperone HscA 	0.0258437 (78%)  hypothetical protein 	
peptococcus niger	A	H	-	1.06949e-35 (78%)  cation diffusion facilitator family transporter 	7.44315e-29 (82%)  cation diffusion facilitator family transporter 	2.61334e-05 (51%)  serine protease Do 	3.38361e-30 (80%)  serine protease Do 	-	-	-	
streptococcus intermedius	A	DZ	-	3.55024e-26 (76%)  cation-efflux pump 	0.0172099 (45%)  putative cation diffusion facilitator family transporter 	0.0179357 (37%)  serine protease 	1.37325e-20 (67%)  serine protease 	-	-	-	
peptostreptococcus sp. mv1	A	H	-	1.06339e-17 (50%)  cation diffusion facilitator family transporter 	4.71574e-14 (41%)  cation diffusion facilitator family transporter 	1.27785e-07 (48%)  protease 	1.01639e-29 (76%)  protease 	-	0.0411067 (45%)  molecular chaperone DnaK 	-	
streptococcus constellatus subsp. pharyngis sk1060 = ccug 46377	A	DZ	-	3.39654e-26 (77%)  predicted Co/Zn/Cd cation transporters 	0.00134895 (47%)  inorganic ion transport/metabolism 	0.000576387 (40%)  trypsin 	1.40985e-23 (70%)  trypsin 	-	-	-	
neisseria sicca	A	DZ	-	1.29739e-11 (64%)  cation transporter 	0.0374059 (27%)  cation transporter 	0.00634873 (68%)  hypothetical protein A6J88_07775 	0.0360302 (26%)  RIP metalloprotease RseP 	0.0251952 (34%)  NadC family protein 	0.000897272 (81%)  Fe-S protein assembly chaperone HscA 	-	
moraxella atlantae	A	DZ	-	2.26503e-08 (38%)  hypothetical protein 	0.0281074 (39%)  hypothetical protein 	1.31457e-07 (47%)  serine protease 	1.90857e-28 (77%)  serine protease 	-	3.5811e-05 (91%)  rod shape-determining protein 	-	
peptostreptococcus anaerobius	A	H	-	2.0835e-13 (58%)  cation diffusion facilitator family transporter 	3.96487e-12 (41%)  cation diffusion facilitator family transporter 	6.31272e-06 (42%)  trypsin 	2.06877e-25 (72%)  trypsin 	-	6.69202e-07 (82%)  rod shape-determining protein MreB 	-	
streptococcus mitis 21/39	A	DZ	-	1.83345e-23 (63%)  cation transporter 	1.50961e-20 (62%)  cation transporter 	0.0440717 (41%)  serine protease 	3.00357e-22 (69%)  serine protease 	-	-	-	
streptococcus pyogenes mgas1882	A	DZ	-	2.98134e-20 (64%)  cation efflux protein, CzcD-like protein 	7.82588e-22 (76%)  cation efflux protein, CzcD-like protein 	0.00191279 (59%)  DegP-like protease/chaperone HtrA 	1.05224e-25 (89%)  DegP-like protease/chaperone HtrA 	-	-	-	
streptococcus intermedius f0413	A	DZ	-	1.01276e-25 (76%)  hypothetical protein HMPREF9177_00217 	0.000758598 (47%)  hypothetical protein HMPREF9177_01837 	0.0157485 (37%)  hypothetical protein HMPREF9177_01896 	3.0397e-21 (68%)  hypothetical protein HMPREF9177_01896 	-	-	-	
burkholderia cepacia jbk9	C	DZ	0.000175062 (36%)  hypothetical protein P350_14360 	5.65077e-27 (75%)  cation diffusion facilitator family transporter 	1.05358e-21 (82%)  cation diffusion facilitator family transporter 	0.000123653 (59%)  2-alkenal reductase 	0.0154852 (31%)  2-alkenal reductase 	-	-	0.00854563 (81%)  hypothetical protein P350_04135 	
streptococcus pyogenes	A	DZ	-	8.15607e-20 (60%)  cation transporter 	5.57982e-20 (72%)  cation transporter 	0.00274127 (59%)  putative serine protease, partial 	7.8457e-24 (80%)  serine protease, partial 	-	-	-	
kingella oralis atcc 51147	A	DZ	-	1.00545e-09 (63%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	0.000543082 (68%)  cadmium, cobalt and zinc/H(+)-K(+) antiporter 	5.082e-06 (53%)  peptidase Do 	3.82434e-06 (53%)  peptidase Do 	-	1.26315e-05 (78%)  cell shape determining protein, MreB/Mrl family 	0.0196363 (90%)  transporter, major facilitator family protein 	
streptococcus mitis	A	DZ	-	1.94937e-22 (63%)  cation transporter 	6.28711e-19 (60%)  cation transporter 	0.0165242 (42%)  Serine protease, DegP/HtrA, do-like protein 	3.78013e-22 (71%)  serine protease 	-	-	-	
moraxella osloensis	A	DZ	-	2.65364e-05 (47%)  hypothetical protein 	0.0396031 (46%)  cation transporter 	9.3629e-06 (72%)  hypothetical protein A9299_01010 	6.83024e-27 (76%)  periplasmic serine peptidase DegS 	0.00406247 (63%)  arsenic transporter 	2.7451e-06 (88%)  rod shape-determining protein 	0.00719496 (34%)  MFS transporter 	
neisseria lactamica 020-06	A	DZ	-	2.12676e-06 (58%)  cation transport protein 	0.000996672 (50%)  cation transport protein 	8.97194e-10 (52%)  putative periplasmic serine protease 	4.20948e-05 (38%)  putative inner membrane protease 	-	0.0050918 (76%)  putative chaperone protein 	-	
streptococcus pyogenes ss1447	A	DZ	-	1.98419e-20 (64%)  cation diffusion facilitator transporter family protein 	1.16593e-21 (75%)  cation diffusion facilitator transporter family protein 	0.00116944 (59%)  serine protease do-like htrA 	4.2115e-25 (72%)  serine protease do-like htrA 	-	-	-	
